,Shewanella sp. ANA-3,Burkholderia phytofirmans PsJN,Bifidobacterium breve UCC2003,Brevundimonas sp. GW460-12-10-14-LB2,Bacteroides thetaiotaomicron VPI-5482,Paraburkholderia bryophila 376MFSha3.1,Paraburkholderia graminis OAS925,Phocaeicola vulgatus CL09T03C04,Ralstonia sp. UNC404CL21Col,Caulobacter crescentus NA1000,"Echinicola vietnamensis KMM 6221, DSM 17526",Cupriavidus basilensis FW507-4G11,Dickeya dadantii 3937,Dickeya dianthicola 67-19,Dickeya dianthicola ME23,Dinoroseobacter shibae DFL-12,Desulfovibrio vulgaris Hildenborough JW710,Dyella japonica UNC79MFTsu3.2,Herbaspirillum seropedicae SmR1,Kangiella aquimarina DSM 16071,Escherichia coli BW25113,Sphingomonas koreensis DSMZ 15582,Klebsiella michiganensis M5al,Lysobacter sp. OAE881,Shewanella oneidensis MR-1,Magnetospirillum magneticum AMB-1,Marinobacter adhaerens HP15,Methanococcus maripaludis JJ,Methanococcus maripaludis S2,Desulfovibrio vulgaris Miyazaki F,Dechlorosoma suillum PS,Shewanella loihica PV-4,Pedobacter sp. GW460-11-11-14-LB5,Phaeobacter inhibens DSM 17395,"Pontibacter actiniarum KMM 6156, DSM 19842",Pseudomonas putida KT2440,Ralstonia solanacearum IBSBF1503,Ralstonia solanacearum GMI1000,Ralstonia solanacearum PSI07,Ralstonia solanacearum UW163,Shewanella amazonensis SB2B,Sinorhizobium meliloti 1021,Synechococcus elongatus PCC 7942,Pseudomonas syringae pv. syringae B728a,Pseudomonas syringae pv. syringae B728a &Delta;mexB,Variovorax sp. OAS795,Pseudomonas simiae WCS417,Xanthomonas campestris pv. campestris strain 8004,Acidovorax sp. GW101-3H11,Azospirillum brasilense Sp245,Pseudomonas stutzeri RCH2,Pseudomonas fluorescens GW456-L13,Pseudomonas fluorescens FW300-N1B4,Pseudomonas fluorescens FW300-N2E3,Pseudomonas fluorescens FW300-N2C3,Pseudomonas fluorescens FW300-N2E2,Rhodanobacter denitrificans FW104-10B01
(+)-Arabinogalactan,,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Propanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,3-Butandiol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,4-B-D-Galactobiose",,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,4-Butanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,5-Pentanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
1-Pentanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
2'-Deoxycytidine,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2'-Deoxyinosine,,,,,,Growth,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,
2-Deoxy-D-Ribose,No Growth,No Growth,,,,Growth,Growth,,,No Growth,,,,,,No Growth,,,No Growth,,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,,,,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
2-Deoxy-D-ribonic acid lithium salt,,Growth,,,,Growth,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,
2-Deoxyadenosine 5-monophosphate,,Growth,,,,Growth,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
